no,text,x1,y1,x2,y2,size,px,textName,imgNo,textAlign,textBaseline
0,日常工作,340,75,0,0,0,45,Arial,1,center,middle
1,玉兔们的工作：日常捣药。,207,169,0,0,0,24,方正兰亭黑_GBK Regular,1,center,middle
2,日常做月饼,165,87,0,0,0,24,方正兰亭黑_GBK Regular,2,center,middle
3,年复一年，一成不变。,539,420,0,0,5,24,方正兰亭黑_GBK Regular,2,center,middle
4,然而每年玉兔们都有最期待的事情，那就是——,62,70,0,0,9,24,方正兰亭黑_GBK Regular,3,left,top
5,过年捣年糕！,369,420,0,0,0,32,方正兰亭黑_GBK Regular,3,left,top
6,新年筹备工作，远离了洗脑的中药和月饼，,74,48,0,0,10,24,方正兰亭黑_GBK Regular,4,left,top
7,憋了一年的玉兔们就开始这样玩了起来。,393,396,0,0,9,24,方正兰亭黑_GBK Regular,4,left,top
8,日常伙食,249,31,0,0,0,45,方正兰亭黑_GBK Regular,5,left,top
9,月饼火锅,68,150,0,0,0,32,方正兰亭黑_GBK Regular,5,left,top
10,月饼刺身,67,59,0,0,0,32,方正兰亭黑_GBK Regular,6,left,top
11,红酒焗月饼,67,65,0,0,0,32,方正兰亭黑_GBK Regular,7,left,top
12,新年菜谱：年糕,73,64,0,0,0,32,方正兰亭黑_GBK Regular,8,left,top
